id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_velo_mm2_1,velo_maker1_product_summary,velo_product_pricing.model_product_summary,group_marketing_maker_2,1,1,0,0
access_velo_mm2_2,velo_maker1_product_validity,velo_product_pricing.model_product_validity,group_marketing_maker_2,1,1,0,0
access_velo_mm2_3,velo_maker1_product_template,product.model_product_template,group_marketing_maker_2,1,1,0,0
access_velo_mm2_4,velo_maker1_sale_subscription,sale_subscription.model_sale_subscription,group_marketing_maker_2,1,0,0,0
access_velo_mm2_5,velo_maker1_sale_subscription_line,sale_subscription.model_sale_subscription_line,group_marketing_maker_2,1,0,0,0
access_velo_mm2_6,velo_maker1_sale_order,sale_subscription.model_sale_order,group_marketing_maker_2,1,0,0,0
access_velo_mm2_7,Program,velo_program_promotion.model_velo_program,group_marketing_maker_2,1,1,1,0
access_velo_mm2_8,Program category,velo_program_promotion.model_velo_program_category,group_marketing_maker_2,1,1,1,0
access_velo_mm2_9,Program promo_type,velo_program_promotion.model_velo_program_promo_type,group_marketing_maker_2,1,1,1,0
access_velo_mm2_10,Product program cost,velo_program_promotion.model_velo_program_cost,group_marketing_maker_2,1,1,1,0
access_velo_mm2_11,Promotion,velo_program_promotion.model_velo_promo,group_marketing_maker_2,1,1,1,0
access_velo_mm2_12,Pop,velo_program_promotion.model_velo_pop,group_marketing_maker_2,1,1,1,0
access_velo_mm2_13,Location,velo_program_promotion.model_velo_location,group_marketing_maker_2,1,1,1,0
access_velo_mm2_14,Tipe,velo_program_promotion.model_velo_tipe,group_marketing_maker_2,1,1,1,0
access_velo_mm2_15,overview,velo_program_promotion.model_overview_program_promotion,group_marketing_maker_2,1,1,1,0
access_velo_mm2_16,avaibility,velo_program_promotion.model_velo_avaibility,group_marketing_maker_2,1,1,1,0
access_velo_mm2_17,telemarketing_telemarketing,velo_marketing_activities.model_telemarketing_telemarketing,group_marketing_maker_2,1,1,1,0
access_velo_mm2_18,telemarketing_line,velo_marketing_activities.model_telemarketing_line,group_marketing_maker_2,1,1,1,0
access_velo_mm2_19,velo_marketing_summary,velo_marketing_activities.model_marketing_summary,group_marketing_maker_2,1,1,1,0
access_velo_mm2_20,mailing,mass_mailing.model_mailing_mailing,group_marketing_maker_2,1,1,1,0
access_velo_mm2_21,velo_osc,velo_marketing_activities.model_osc,group_marketing_maker_2,1,1,1,0
access_velo_mm2_22,velo_osc_leads_acquired,velo_marketing_activities.model_osc_leads_acquired,group_marketing_maker_2,1,1,1,0
access_velo_mm2_23,velo_osc_campaign_cost,velo_marketing_activities.model_osc_campaign_cost,group_marketing_maker_2,1,1,1,0
access_velo_mm2_24,velo_osc_budget_forecast,velo_marketing_activities.model_osc_budget_forecast,group_marketing_maker_2,1,1,1,0
access_velo_mm2_25,velo_vsd,velo_marketing_activities.model_vsd,group_marketing_maker_2,1,1,1,0
access_velo_mm2_26,velo_vsd_leads_acquired,velo_marketing_activities.model_vsd_leads_acquired,group_marketing_maker_2,1,1,1,0
access_velo_mm2_27,velo_vsd_campaign_cost,velo_marketing_activities.model_vsd_campaign_cost,group_marketing_maker_2,1,1,1,0
access_velo_mm2_28,velo_vsd_budget_forecast,velo_marketing_activities.model_vsd_budget_forecast,group_marketing_maker_2,1,1,1,0
access_velo_mm2_29,velo_tradeshow,velo_marketing_activities.model_tradeshow,group_marketing_maker_2,1,1,1,0
access_velo_mm2_30,velo_tradeshow_leads_acquired,velo_marketing_activities.model_tradeshow_leads_acquired,group_marketing_maker_2,1,1,1,0
access_velo_mm2_31,velo_tradeshow_campaign_cost,velo_marketing_activities.model_tradeshow_campaign_cost,group_marketing_maker_2,1,1,1,0
access_velo_mm2_32,velo_velomania,velo_marketing_activities.model_velomania,group_marketing_maker_2,1,1,1,0
access_velo_mm2_33,velo_velomania_campaign_cost,velo_marketing_activities.model_velomania_campaign_cost,group_marketing_maker_2,1,1,1,0
access_velo_mm2_34,velo_velomania_event_attendance,velo_marketing_activities.model_velomania_event_attendance,group_marketing_maker_2,1,1,1,0
access_velo_mm2_35,velo_velomania_budget_forecast,velo_marketing_activities.model_velomania_budget_forecast,group_marketing_maker_2,1,1,1,0
access_velo_mm2_36,customer_brand,velo_customers.model_brand_object,group_marketing_maker_2,1,1,0,0
access_velo_mm2_37,customer_group,velo_customers.model_group_object,group_marketing_maker_2,1,1,0,0
access_velo_mm2_38,pop_pic,velo_customers.model_pop_pic,group_marketing_maker_2,1,1,0,0
access_velo_mm2_39,customer_summary,velo_customers.model_customer_summary,group_marketing_maker_2,1,1,0,0
access_velo_mm2_40,potential_summary,velo_customers.model_potential_summary,group_marketing_maker_2,1,1,0,0
access_velo_mm2_41,velo_helpdesk_customer,velo_helpdesk.model_helpdesk_customer,group_marketing_maker_2,0,0,0,0
access_velo_mm2_42,velo_helpdesk_internal,velo_helpdesk.model_helpdesk_internal,group_marketing_maker_2,0,0,0,0
access_velo_mm2_43,velo_helpdesk_partner,velo_helpdesk.model_helpdesk_partner,group_marketing_maker_2,0,0,0,0
access_velo_mm2_44,velo_helpdesk_ticket_list,velo_helpdesk.model_helpdesk_ticket_list,group_marketing_maker_2,0,0,0,0
access_velo_mm2_45,velo_helpdesk_pinalty,velo_helpdesk.model_helpdesk_pinalty,group_marketing_maker_2,0,0,0,0
access_velo_mm2_46,velo_helpdesk_sla_report,velo_helpdesk.model_helpdesk_sla_report,group_marketing_maker_2,0,0,0,0
access_velo_mm2_47,velo_order_acc,velo_order_fulfilment.model_order_acc,group_marketing_maker_2,0,0,0,0
access_velo_mm2_48,velo_order_acmrf,velo_order_fulfilment.model_order_acmrf,group_marketing_maker_2,0,0,0,0
